model,threshold,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
Logistic Regression,0.7,0.849055103079664,0.539266698323853,0.6595980005066702,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.75,0.951727081925225,0.27030522242541194,0.42103109656301146,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.8,0.9532249946070325,0.2678703133051113,0.41821580396084895,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
CART,0.2,0.5489507190391351,0.9992725582711135,0.7086205167151475,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.25,0.5489916344237633,0.9991917314123483,0.708634279163084,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.3,0.5509047051383222,0.9945138769613142,0.7090407485575573,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.35,0.7917462640057445,0.5904199965648586,0.676420543331057,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.4,0.8409115522069402,0.5491578851652404,0.6644174703876197,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.45,0.8431818181818181,0.547258453984259,0.6637298810785641,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.5,0.8460752730415652,0.5439647594895783,0.6621897522938036,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.55,0.8487486915976782,0.5407013750669347,0.6605772969370058,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.6,0.8487968147713393,0.5406205482081696,0.6605315458776185,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.65,0.8491994085004214,0.5395900057589137,0.6598833617515506,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.7,0.8535371020657138,0.5230811198561282,0.6486462783617525,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.75,0.9504731084456013,0.2730028188366994,0.4241715460810323,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
CART,0.8,0.9528872659578277,0.26892106246905845,0.419462611299346,0.7317109775442252,0.7615365575579748,0.7301700293401876,0.0015571549024137477,0.7644723511138075,0.0010344934033650914
